1.fev.2010 às 11h42	Acordo de Copenhague recebe confirmações no prazo, mas com metas fracas	AMBIENTE	Não tem imagem	O Secretariado de Mudanças Climáticas da ONU planeja publicar uma lista de pedidos nesta segunda-feira (1º). ...	http://www1.folha.uol.com.br/folha/ambiente/ult10007u687546.shtml
29.jan.2010 à 0h00	Brasil cai de 34º para 62º em ranking ambiental americano	CIÊNCIA	Não tem imagem	Ele reúne dados de 163 países, em 25 indicadores que tratam de temas como saúde ambiental, qualidade do ar, recursos hídricos, biodiversidade, florestas, agricultura e mudanças climáticas ...	http://www1.folha.uol.com.br/fsp/ciencia/fe2901201002.htm
25.jan.2010 às 15h31	Humanos aniquilaram animais gigantes da Oceania, diz estudo	CIÊNCIA	Não tem imagem	Cientistas que relutam em culpar humanos pelo evento ainda tentam provar que a megafauna entrou em extinção pressionada por mudanças climáticas ocorridas na época. ...	http://www1.folha.uol.com.br/folha/ciencia/ult306u684304.shtml
25.jan.2010 à 0h00	Dados de satélite da CIA ajudam a estudar o clima	NEW YORK TIMES	Não tem imagem	iniciativa, os colaboradores vasculharam imagens do gelo do oceano Ártico feitas por satélites de reconhecimento, na tentativa de distinguir coisas como derretimentos de verão e tendências climáticas ...	http://www1.folha.uol.com.br/fsp/newyorktimes/ny2501201015.htm
25.jan.2010 à 0h00	Marina Silva: Um fórum pelo mundo	OPINIÃO	Não tem imagem	climáticas. ...	http://www1.folha.uol.com.br/fsp/opiniao/fz2501201006.htm
24.jan.2010 às 19h02	Grupo que inclui Brasil cobra promessa dos países ricos contra aquecimento global	BBC BRASIL	Não tem imagem	climáticas. ...	http://www1.folha.uol.com.br/folha/bbc/ult272u684010.shtml
24.jan.2010 à 0h00	+ Marcelo Leite: Clima midiático	CIÊNCIA	Não tem imagem	Parece notável o paralelo com o caso brasileiro relatado aqui em 4 de março de 2007: um relatório do Ministério do Meio Ambiente (MMA), "Mudanças Climáticas Globais e seus Efeitos sobre ...	http://www1.folha.uol.com.br/fsp/ciencia/fe2401201005.htm
22.jan.2010 à 0h00	Frase	CIÊNCIA	Não tem imagem	Texto Anterior | Índice Frase Em todo cenário com mudanças climáticas, o poder destrutivo dos furacões aumenta MORRIS BENDER climatólogo, em estudo com coautores Texto Anterior ...	http://www1.folha.uol.com.br/fsp/ciencia/fe2201201004.htm
21.jan.2010 às 15h46	Presidente do IPCC pede desculpas por erro sobre geleiras do Himalaia	AMBIENTE	Não tem imagem	O principal líder do Painel Intergovernamental de Mudanças Climáticas (IPCC, na sigla em inglês) foi obrigado a pedir desculpas pela inclusão, no relatório de 2007, de que havia uma chance & ...	http://www1.folha.uol.com.br/folha/ambiente/ult10007u682750.shtml
21.jan.2010 às 13h23	Obra prevê catástrofes globais caso a Terra aqueça seis graus		Não tem imagem	A obra se baseia em previsões de aumento da temperatura do IPCC (Painel Intergovernamental de Mudanças Climáticas) de que a temperatura média global pode subir em 6 graus até 2100. ...	http://www1.folha.uol.com.br/folha/livrariadafolha/ult10082u682689.shtml
